AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
42,1,22,1,2320,40,1,1,1,2,1,1,1
74,2,24,1,4120,40,1,1,1,2,1,1,1
62,2,15,3,9130,45,1,1,2,2,1,1,0
35,2,15,5,4120,40,1,1,2,2,1,1,0
43,2,19,1,4120,40,1,1,1,2,1,1,0
50,1,21,1,1320,40,1,1,1,2,1,1,1
46,1,16,1,4120,40,1,1,1,2,2,1,0
73,2,17,1,4120,40,1,1,1,2,1,1,0
33,1,22,5,2015,40,4,1,2,2,1,1,1
43,1,18,5,6355,30,6,1,1,2,1,1,0
9,1,5,5,4120,40,1,1,2,1,1,1,0
75,2,16,2,4120,40,1,1,1,2,1,1,0
6,1,2,5,4120,40,1,1,1,2,1,1,0
86,2,1,5,4120,40,1,1,1,2,1,1,0
12,2,10,5,4120,40,1,1,1,2,1,1,0
15,1,11,5,4120,40,1,1,1,2,1,1,0
58,1,17,5,4220,40,1,1,1,2,1,1,1
62,2,19,3,4720,40,1,1,1,2,1,1,0
15,2,12,5,4120,40,1,1,1,2,1,1,0
7,2,3,5,4120,40,1,4,6,2,1,2,0
2,1,18,5,4120,40,1,1,6,2,1,1,0
51,1,16,1,6355,40,1,1,1,1,1,1,1
30,1,23,1,5110,40,1,1,1,2,1,1,1
51,1,19,3,1050,40,1,1,9,2,2,1,0
70,2,16,5,4120,40,1,1,1,1,1,1,0
62,1,18,3,4850,36,1,1,1,2,1,1,0
17,1,14,5,4220,40,3,1,2,1,1,1,0
52,1,17,1,9130,50,1,1,1,2,1,1,1
1,2,18,5,4120,40,1,1,1,2,1,1,0
66,2,16,1,5740,40,2,1,1,2,1,1,0
78,2,13,2,4120,40,1,1,2,2,1,1,0
11,1,7,5,4120,40,1,1,1,2,1,1,0
33,2,21,5,1108,40,1,1,1,2,1,1,0
47,1,19,1,4760,60,1,1,1,2,1,1,1
65,2,14,1,5610,40,1,1,1,2,1,1,0
68,1,15,1,7000,40,1,1,1,2,1,1,1
28,2,21,1,3255,50,1,1,1,2,1,1,1
3,2,1,5,4120,40,1,1,1,2,1,1,0
1,1,18,5,4120,40,1,1,1,2,1,1,0
6,1,3,5,4120,40,1,1,1,2,1,1,0
6,1,2,5,4120,40,1,1,1,2,1,1,0
68,2,16,1,4120,40,1,1,1,2,1,1,0
1,1,18,5,4120,40,1,1,1,2,1,1,0
40,2,16,1,4120,40,1,1,1,2,1,1,0
50,1,16,1,5920,40,1,1,1,2,1,1,1
66,1,21,1,230,40,4,1,1,2,1,1,1
59,2,21,3,7905,40,1,1,1,2,1,1,0
64,2,13,1,4120,40,1,1,1,1,1,1,0
53,2,20,1,205,70,6,1,1,2,1,1,0
63,1,16,3,4220,40,1,1,1,2,1,1,1
77,1,16,2,4850,40,1,1,1,2,1,1,1
66,2,19,3,9620,40,1,1,2,1,1,1,0
44,2,16,1,2145,40,1,1,1,2,1,1,0
59,1,22,3,2320,8,4,1,1,2,1,1,1
65,2,16,1,4120,40,1,1,1,2,1,1,0
54,2,20,4,3602,14,6,1,1,1,1,1,0
33,2,16,5,9620,25,1,1,2,1,1,1,0
49,2,1,1,4720,40,1,1,2,1,1,1,0
51,1,19,1,7210,47,1,1,2,2,1,1,0
5,2,2,5,4120,40,1,1,1,2,1,1,0
18,2,14,5,4010,25,1,1,1,1,1,1,0
